Date,Open,High,Low,Close,Retorno_diario,Retorno_lag_1,Retorno_lag_2,Retorno_lag_3,Retorno_lag_5,Rango_diario,Cuerpo_vela,Posicion_cierre,Distancia_MA5,Distancia_MA10,Distancia_MA20,Volatilidad_5,Volatilidad_20,RSI_14,MACD_hist,Objetivo
2007-07-09,1.363,1.3638,1.361,1.3626,-7.33837234900836e-05,0.0021326665686132174,-0.0010285042609462502,0.00029394473838917357,0.006129532530832371,0.0020542920029346396,-0.00029347028613349666,0.5714285714286054,0.0008667420781243163,0.0049191329935911465,0.011318514120310263,0.0013297149883564588,0.0029793261756634244,76.25329815303415,0.0020295899640045256,1
2007-07-10,1.3626,1.3747,1.3594,1.3746,0.008806693086745865,-7.33837234900836e-05,0.0021326665686132174,-0.0010285042609462502,-0.0011743981209630938,0.011228533685601123,0.008806693086745934,0.9934640522875825,0.007638288202436616,0.011590683298377424,0.01854664819164631,0.003960006307448495,0.0031973837424549663,86.10526315789448,0.002533844627420954,0
2007-07-11,1.3747,1.3782,1.3731,1.3744,-0.00014549687181719673,0.008806693086745865,-7.33837234900836e-05,0.0021326665686132174,0.00029394473838917357,0.0037099003418928525,-0.00021822943187602164,0.254901960784324,0.005545719260765969,0.009282105510515892,0.016763578794738665,0.00401259299708695,0.003214565353007231,88.52813852813841,0.002669056040059157,1
2007-07-12,1.3744,1.3797,1.374,1.3788,0.003201396973224746,-0.00014549687181719673,0.008806693086745865,-7.33837234900836e-05,-0.0010285042609462502,0.004147264260768202,0.00320139697322465,0.842105263157907,0.005968102026820077,0.010006299720175305,0.018225858860366984,0.003661211563491938,0.003214017642614102,87.49999999999987,0.002853348221940058,0
2007-07-13,1.3787,1.3811,1.3763,1.3782,-0.0004351610095735259,0.003201396973224746,-0.00014549687181719673,0.008806693086745865,0.0021326665686132174,0.003481540581707344,-0.00036266047726114814,0.395833333333343,0.003261217715400555,0.007787649446089784,0.016304227595513643,0.003944610945804398,0.0031089130765997123,87.91469194312778,0.0027331507015682117,0
2007-07-16,1.3781,1.3803,1.3759,1.3771,-0.000798142504716326,-0.0004351610095735259,0.003201396973224746,-0.00014549687181719673,-7.33837234900836e-05,0.0031928016834773826,-0.000725636746244911,0.2727272727272819,0.00034868010053590304,0.005902032110560951,0.014161885894820703,0.004063803385128455,0.0031456839689880537,87.29411764705871,0.0023902676521876396,1
2007-07-17,1.3771,1.3797,1.3758,1.3781,0.0007261636772928348,-0.000798142504716326,-0.0004351610095735259,0.003201396973224746,0.008806693086745865,0.0028320383414421717,0.0007261636772929431,0.5897435897436365,0.0005663171957133173,0.005362028086813853,0.013577123356182552,0.001606594721071629,0.0031470936590207825,87.78801843317963,0.002054353313932289,1
2007-07-18,1.3781,1.3832,1.3753,1.3802,0.0015238371671142392,0.0007261636772928348,-0.000798142504716326,-0.0004351610095735259,-0.00014549687181719673,0.005732530295334168,0.0015238371671141358,0.6202531645569767,0.0012477511461899127,0.005500309620078081,0.01363434400555219,0.0016098345124562865,0.0030616902999942124,88.93805309734496,0.0018059331569311252,1
2007-07-19,1.3803,1.3829,1.3786,1.3803,7.245326764238058e-05,0.0015238371671142392,0.0007261636772928348,-0.000798142504716326,0.003201396973224746,0.003115264797507767,0.0,0.39534883720931313,0.0011024238819825616,0.004073616061686325,0.012165343071474322,0.0009278725170057233,0.003019916774144543,86.18784530386718,0.001493623838218567,1
2007-07-20,1.3802,1.3842,1.378,1.3827,0.0017387524451206726,7.245326764238058e-05,0.0015238371671142392,0.0007261636772928348,-0.0004351610095735259,0.00449210259382713,0.001811331691059228,0.7580645161290311,0.0021889133712165165,0.004358247984310282,0.012599826436566985,0.0010470693619878996,0.0028215603797045598,83.49834983498323,0.0013010181571619182,0
2007-07-23,1.383,1.3844,1.3795,1.3807,-0.001446445360526516,0.0017387524451206726,7.245326764238058e-05,0.0015238371671142392,-0.000798142504716326,0.00354302241503986,-0.0016630513376717055,0.24489795918368548,0.00021732831063459024,0.0015886718268276478,0.009859422770293058,0.0012847871319208329,0.002858081271870862,82.4104234527686,0.000909774100863044,1
2007-07-24,1.3809,1.3851,1.3798,1.3823,0.001158832476280125,-0.001446445360526516,0.0017387524451206726,7.245326764238058e-05,0.0007261636772928348,0.0038380766166993137,0.001013831559128154,0.47169811320757166,0.0007674263705077511,0.002189548170059785,0.0096671816166507,0.0013160851251628775,0.0028245863984132044,83.07210031347954,0.0006422070496976198,0
2007-07-25,1.3823,1.3832,1.3696,1.3721,-0.007379006004485267,0.001158832476280125,-0.001446445360526516,0.0017387524451206726,0.0015238371671142392,0.009838674672647077,-0.0073790060044852685,0.18382352941177635,-0.005450776300720328,-0.005039701243609751,0.0012368606360892986,0.0036761448336689504,0.0034274192863783734,65.11056511056529,-0.00028832749653561786,1
2007-07-26,1.372,1.3771,1.3692,1.3746,0.0018220246337730117,-0.007379006004485267,0.001158832476280125,-0.001446445360526516,7.245326764238058e-05,0.005758017492711383,0.0018950437317783787,0.6835443037974758,-0.0028146944460566425,-0.0029231918643870536,0.0019790288544592194,0.0039005215337601304,0.00341975016846181,64.76426799007447,-0.0007744755791423818,0
2007-07-27,1.3744,1.3753,1.3627,1.3633,-0.008220573257675001,0.0018220246337730117,-0.007379006004485267,0.001158832476280125,0.0017387524451206726,0.009167636786961543,-0.008076251455180521,0.047619047619042586,-0.008220573257675001,-0.010049813381355799,-0.006590908262863904,0.004722727959624816,0.0037386942266305094,50.67961165048536,-0.0018355247239112728,1
2007-07-30,1.3623,1.3705,1.361,1.3696,0.004621139881170633,-0.008220573257675001,0.0018220246337730117,-0.007379006004485267,-0.001446445360526516,0.0069735006973501166,0.005358584746384689,0.9052631578947246,-0.0020256780192077217,-0.004933194806704733,-0.002261957230431988,0.00581491380285328,0.003629487650291849,44.54148471615708,-0.0020739143519643375,0
2007-07-31,1.3695,1.3726,1.3679,1.3683,-0.000949182242990565,0.004621139881170633,-0.008220573257675001,0.0018220246337730117,0.001158832476280125,0.00343190945600595,-0.0008762322015333099,0.08510638297875858,-0.0009345930869316676,-0.005169367679455528,-0.00348122469193346,0.005638674283268278,0.0036251176893976073,43.49680170575692,-0.002264467528976851,0
2007-08-01,1.3682,1.3709,1.3637,1.3666,-0.0012424175984798724,-0.000949182242990565,0.004621139881170633,-0.008220573257675001,-0.007379006004485267,0.0052623885396872495,-0.0011694196754860734,0.4027777777777898,-0.0013737869753301934,-0.005421927877442556,-0.004914988895765693,0.004783996102719734,0.0036410742261678993,36.19909502262445,-0.0024354145187837056,1
2007-08-02,1.3665,1.3705,1.365,1.3702,0.0026342748426753104,-0.0012424175984798724,-0.000949182242990565,0.004621139881170633,0.0018220246337730117,0.004024881083058954,0.0027076472740578386,0.9454545454545521,0.001901140684410496,-0.002068402959855442,-0.002671286220675806,0.004907231555681767,0.00366782103615301,41.52542372881358,-0.0022413269860473758,1
