Date,Open,High,Low,Close,Retorno_diario,Objetivo
2008-05-09,1.5403,1.5486,1.5393,1.548,0.004999026163734266,1
2008-05-12,1.5468,1.557,1.5366,1.5541,0.0039405684754521,0
2008-05-13,1.554,1.5564,1.5431,1.5469,-0.004632906505372958,1
2008-05-14,1.5469,1.5484,1.5396,1.548,0.0007110996185921703,0
2008-05-15,1.5476,1.5547,1.5419,1.5444,-0.0023255813953488857,1
2008-05-16,1.5441,1.5599,1.5437,1.5576,0.008547008547008517,0
2008-05-19,1.5584,1.5632,1.5486,1.5509,-0.004301489470981079,1
2008-05-20,1.5534,1.5679,1.5505,1.5652,0.009220452640402277,1
2008-05-21,1.5651,1.5684,1.5644,1.5666,0.0008944543828264262,1
2008-05-22,1.5806,1.5807,1.5692,1.5723,0.0036384527001149802,1
2008-05-23,1.5723,1.5793,1.5699,1.5763,0.002544043757552572,1
2008-05-26,1.5768,1.5791,1.5741,1.5772,0.0005709573050813876,0
2008-05-27,1.5771,1.5817,1.5671,1.5676,-0.006086735987826386,0
2008-05-28,1.5677,1.5759,1.5607,1.5647,-0.001849961724929905,0
2008-05-29,1.5647,1.5663,1.5485,1.5511,-0.008691761999105263,1
2008-05-30,1.5511,1.5568,1.5462,1.5554,0.002772226162078617,0
2008-06-02,1.5561,1.5589,1.5486,1.5539,-0.0009643821525008311,0
2008-06-03,1.5535,1.5627,1.5409,1.5433,-0.0068215457880173025,0
2008-06-04,1.5441,1.5481,1.5418,1.5425,-0.000518369727207868,1
2008-06-05,1.5424,1.5599,1.5365,1.5582,0.010178282009724482,1
2008-06-06,1.5582,1.5777,1.5572,1.5777,0.012514439738159355,0
2008-06-09,1.5784,1.5842,1.5617,1.5641,-0.008620143246498069,0
2008-06-10,1.564,1.5653,1.5439,1.5454,-0.011955757304520143,1
2008-06-11,1.5456,1.5585,1.5453,1.5556,0.006600232949398155,0
2008-06-12,1.5556,1.5565,1.538,1.5449,-0.006878374903574236,0
2008-06-13,1.5449,1.548,1.5304,1.538,-0.004466308498931926,1
2008-06-16,1.5392,1.5517,1.5346,1.5467,0.005656697009102762,1
2008-06-17,1.5468,1.555,1.546,1.5505,0.0024568436025085294,1
2008-06-18,1.5505,1.5537,1.5462,1.5524,0.0012254111576910365,0
2008-06-19,1.557,1.5585,1.5466,1.5501,-0.0014815769131666379,1
2008-06-20,1.5501,1.5651,1.5491,1.5607,0.006838268498806421,0
2008-06-23,1.5624,1.5626,1.5468,1.5513,-0.006022938425065738,1
2008-06-24,1.5522,1.562,1.5492,1.5569,0.003609875588216349,1
2008-06-25,1.557,1.5685,1.5537,1.5664,0.006101869098850354,1
2008-06-26,1.5665,1.5765,1.563,1.575,0.0054902962206333505,1
2008-06-27,1.5751,1.5793,1.572,1.5793,0.002730158730158694,0
2008-06-30,1.5785,1.5835,1.5731,1.5754,-0.0024694484898373226,1
2008-07-01,1.5754,1.5824,1.5724,1.5794,0.0025390377047098678,1
2008-07-02,1.5793,1.589,1.5776,1.589,0.0060782575661644245,0
2008-07-03,1.5891,1.5896,1.5681,1.5696,-0.012208936438011242,1
2008-07-04,1.5696,1.5725,1.5656,1.5704,0.0005096839959224386,1
2008-07-07,1.5697,1.5752,1.5611,1.5723,0.0012098828323994226,0
2008-07-08,1.5723,1.5738,1.5635,1.5667,-0.0035616612605736675,1
2008-07-09,1.5666,1.575,1.5649,1.5737,0.004467990042765102,1
2008-07-10,1.5738,1.58,1.5691,1.5784,0.002986592107771413,1
2008-07-11,1.5784,1.5945,1.5764,1.5937,0.009693360364926518,0
2008-07-14,1.5894,1.5934,1.584,1.5904,-0.0020706531969629793,1
2008-07-15,1.5902,1.6035,1.5866,1.5911,0.0004401408450702693,0
2008-07-16,1.5912,1.5947,1.58,1.5819,-0.0057821632832630865,1
2008-07-17,1.5819,1.5893,1.5783,1.5858,0.002465389721221234,0
2008-07-18,1.5856,1.5885,1.5804,1.5846,-0.000756715853197143,1
2008-07-21,1.5841,1.5931,1.5828,1.5924,0.004922377887163876,0
2008-07-22,1.5924,1.5942,1.5757,1.579,-0.008414971112785774,0
2008-07-23,1.5786,1.5797,1.567,1.5684,-0.006713109563014519,0
2008-07-24,1.5684,1.5713,1.5627,1.5676,-0.0005100739607242222,1
2008-07-25,1.5677,1.5753,1.5662,1.5708,0.0020413370757845772,1
2008-07-28,1.5695,1.5767,1.5683,1.5737,0.0018461930226636447,0
2008-07-29,1.5738,1.5757,1.5553,1.5583,-0.009785854991421594,0
2008-07-30,1.5583,1.5615,1.5519,1.5576,-0.0004492074696784698,1
2008-07-31,1.5577,1.5698,1.5568,1.5597,0.0013482280431433846,0
2008-08-01,1.5598,1.5598,1.5513,1.5564,-0.0021157914983651605,1
2008-08-04,1.5572,1.563,1.5555,1.5573,0.0005782575173476356,0
2008-08-05,1.5572,1.5575,1.5447,1.545,-0.007898285494124413,0
2008-08-06,1.545,1.5515,1.5398,1.5413,-0.0023948220064725634,0
2008-08-07,1.5413,1.5502,1.5309,1.5324,-0.005774346331019253,0
2008-08-08,1.5324,1.5334,1.4997,1.5005,-0.020817019055077046,0
